name,description,Duration in minutes,category
Centre + action ultérieure (tir au but),"Positionnement
  Le gardien se met dans le but. Un/plusieurs joueurs (attaquants) prennent une position centrale devant le but à hauteur de la surface de rép. L'entraineur du gardien/ou bien un ailiers est placé près de la ligne de touche à hauteur de la surface de rép. (voir le dessin)


  Déroulement
  L'ailier centre à partir du couloir droit ou gauche vers la surface de rép. L'attaquant essaie de transformer le centre. L'objectif du gardien est d'intercepter autant de centres que possible ou bien rester sur la ligne et d'éviter d'encaisser des buts.
Intensité: 10 à 15 centres de chaque côté
Option 1: Le gardien quitte sa position d'origine pour intercepter la balle.
Option 2: Le gardien n'arrive pas à atteindre le centre, il reste dans son but pour plonger derrière la reprise volée de l'attaquant.




  Notes
  Comportement général du gardien en cas de centres latéraux:
- Le gardien se place au milieu du but, 1 à 2 pas de la ligne de but, les yeux fixés vers le centreur. Dans cette position, il peut vite atteindre pas seulement le premier poteau, mais aussi courir vite vers la ligne des 6 mètres ou le deuxième poteau.
- Pour chaque centre, le gardien doit estimer s'il peut l'intercepter ou s'il vaut mieux de rester sur la ligne.
- S'il choisit d'intercepter le centre, il peut supposer d'être mêlé à un duel avec l'attaquant. Du coup, il faut qu'il aille vers le ballon de facon déterminée et énergique et qu'il intercepte ce dernier au plus haut point de sa trajectoire.
- S'il choisit de rester sur la ligne, il peut supposer que l'attaquant va tirer au but. Dans ce cas, le gardien essaie de se saisir du ballon, mais du moins le dégager vers le côté.
- Juste avant la frappe du tireur, le gardien fait un petit bond intermédiaire des deux pieds, déploie les bras, se replie un peu dans les articulations des genoux et se tient sur la plante des pieds. Les pieds pointent en direction du tireur et sont à un écart conforme à celui de la hanche. Le torse se penche un peu en avant et le ballon sera fixé des yeux


  Dimensions du terrain
  50x25 m.",35,
Entraînement de passes au gardien,"Positionnement
  Les joueurs à gauche/droite du limite de la surface de rép. ont un ballon chacun. Le gardien est placé devant son but, les autres joueurs comme indiqué sur le dessin. Le joueur de pressing se trouve à hauteur de la surface de rép., l'autre gardien sur la ligne médiane.




  Déroulement
  Le joueur à gauche fait une passe au gardien, l'adversaire bleu-gris va vers le gardien pour le harceler. Ce dernier doit décider s'il va passer son ballon directement ou après l'avoir contrôlé et où faire sa passe: au joueur placé à droite ou bien vers l'autre gardien sur la ligne médiane. S'il fait sa passe à l'autre gardien, celui-ci attrape le ballon et le renvoie au joueur à gauche.
Le même exercice se fait dans les deux sens, en partant de la droite et de la gauche.




  Notes
  - Le gardien est obligé d'observer les joueurs afin de réagir au moment où il recoit une passe. Cela va entrainer en particulier ses capacités d'attention.
- Le gardien doit gérer les passes correctement. La première touche sert à contrôler le ballon, la deuxième touche pour relancer le ballon.
- Les passes au gardien se font de différentes positions, tant à ras de terre que comme passes aériennes.
- Lors du contrôle du ballon de la poitrine, le gardien doit la tourner vers la direction souhaitée au moment de la réception de balle.
- Si possible le gardien doit transfèrer le ballon directement (en une seule touche).
- Le gardien doit appliquer différentes techniques de passes. Une passe aérienne se fait en général de l'intérieur du pied.
- Les joueurs de champ échangent régulierement leurs positions, dans le sens des aiguilles.
- Exigez de la précision lors des contrôles de ballon, des passes et des dégagements de but.




  Dimensions du terrain
  Moitié du terrain.",30,
Parcours à travers de piquets/cerceaux + tir au but + ouverture du jeu préliminaire,"Positionnement
  Installez un parcours se composant de cônes/cerceaux/piquets/buts selon le dessin. Les gardiens prennent une position à la ligne de sortie de but, l'entraineur au point de penalty.


  Déroulement
  Les gardiens absolvent le parcours qui les mène par dessus des piquets et des cerceaux (par sauts croisés) posés au sol. S'ensuit un tir au but. Puis, le gardien doit dégager le ballon du pied/de la main à partir du mouvement pour l'envoyer vers une cible/un autre but prédéfinis.


  Notes
  Techniques de mouvement pour le parcours à travers les piquets/cerceaux:
- Les paumes sont ouverts, ne faites pas de poing ! (une petite différence qui peut, en athlétisme, décider d'or, d'argent ou de bronze et en foot, de cela si le ballon va vers le poteau ou dans le but)
- Se déplacer sur la plante des pieds, pas sur les pieds entiers ou les talons => skipping
- Se déplacer aux pieds légers, ne pas ""piétiner""
- Les bras fléchis au corps suivent le mouvement des pieds en sens inverse (bras gauche/pied droit etc). Ils ne s'éloignent pas trop du corps (comme pour l'allégresse du but)
- Faites de petits mouvements très courts
- Marche de soldats => Le bras/pied gauches sont fléchis. On se déplace sur la plante des pieds et le bras/pied gauche seront levés. En même temps, la plante du pied droit est posé sur sol et se prend à la même séquence de mouvement. Changement de côtés permanent.
- Course genoux levés à la poitrine => la jambe droite est levée dans un angle maximal, le bras gauche (fléchi) suit ce même mouvement en haut. La jambe gauche est quasi complètement étendue. Le joueur repose sur la plante des pieds. Dès que la jambe droite touche au sol, le même mouvement s'ensuit du côté gauche. Le torse se tient bien droit. Vitesse maximum, contact au sol très court.
- Course de foulées bondissantes/d'un pied => de la jambe gauche, le joueur se pousse puissamment du sol pour sauter le plus haut possible. La jambe droite est fléchie. Le bras gauche (fléchi) suit ce même mouvement en haut. La jambe gauche est quasi complètement étendue. Le joueur repose sur la plante des pieds. Dès que la jambe droite touche au sol, le même mouvement s'ensuit du côté gauche. Le torse se tient bien droit. Vitesse maximum, contact au sol très court.
Techniques de mouvement/de sauts pour les gardiens:
- Le gardien doit toujours se déplacer sur la plante des pieds pour ne pas tomber en arrière. Il doit apprendre de fixer le ballon des yeux jusqu'à ce qu'il l'ait complètement sous contrôle. Pour entrainer la technique des jambes et des foulées bondissantes, on peut recourir à un piquet posé par terre. Le gardien doit donc mener le pied d'appel (duquel il se pousse du sol) par dessus le piquet pour se laisser tomber latéralement en direction du ballon.
- Dans une situation de jeu où le gardien est accroupi, il commence par se redresser par le pied droit avant de se pousser du sol du pied gauche. Dans une situation où son torse est allongé vers le côté gauche, il s'appuie des deux bras en avant, se redresse encore d'abord par le pied droit avant de se pousser finalement du pied gauche.
- Les sauts ressemblent aux mouvements diagonaux d'un skieur (lors de la descente) => Le torse est légèrement penché en avant et le gardien saute en lignes diagonales d'un pied après l'autre (du pied droit en avant à droite, du pied gauche en avant à gauche). Le décollage et l'atterissage se font sur la plante des pieds. Les bras soutiennent l'impulsion. Quand la jambe d'appui est posée au sol, l'autre jambe reste fléchie dans l'air (est n'a pas de contact au sol). Les yeux regardent tout droit.
Techniques de lances/frappes:
- Le pied d'appui repose à 30-40 cm latéralement et à hauteur du ballon.
- Le torse est légèrement penché par dessus le ballon.
- Le pied fait un mouvement d'élan du haut vers le bas.
- La coordination pied-bras lors de la frappe/passe a les caractéristiques suivantes:
a) Pour l'impulsion du pied droit: bras droit balance en avant, bras gauche en arrière.
b) Pour l'impulsion du pied gauche: bras gauche balance en avant, bras droit en arrière.
- Remise du cou-de-pied: la pointe du pied pointe vers le sol, l'articulation est tendue et le torse légèrement penché par dessus le ballon. Le ballon est touché par la surface arrière du cou-de-pied. Pour lancer une passe plus longue, il est permis de se pencher un peu en arrière.
- De l'intérieur du pied: le ballon est frappé en partie de l'intérieur et en partie du cou-de-pied. Le pied d'appui se trouve à côté du ballon et le torse s'incline un peu. Les doigts de pied pointent vers le bas, comme si on faisait une frappe du cou-de-pied.
- Pour un drop, prenez le ballon dans les deux mains, étendez les bras et lâchez le ballon. Au moment où le ballon touche à terre, il faut le frapper du cou-de-pied.
- Pour la remise frontale comme volée, le torse est un peu penché en avant. Le ballon est dégagé des deux mains un peu en avant et puis frappé assez bas (pas trop haut). Ainsi, la frappe sera puissante et très précise. Le ballon est frappé du cou-de-pied. Pour réaliser une plus grande distance de renvoi, il est recommandé de relever ou d'incliner en arrière son torse.
- Pour une remise latérale (coup de ciseaux), le pied d'appui se trouvé à côté du ballon et le torse s'incline un peu. Les doigts de pied pointent vers le bas, comme si on faisait une frappe du cou-de-pied. Le pied de tir est fléchi, la surface de frappe est le cou-de-pied. le ballons sera mené resp. lancé de la main vers le pied de tir.
- Pour la lance latérale, le gardien se comporte comme un lanceur de javelot: il étend son bras en arrière et met le ballon dans la paume ouverte. En maintenant la tension, Le bras tendu sera ensuite mené en avant, près de l'oreille. Ses foulées sont importantes: s'il dégage le ballon de la main droite, le pied gauche est décalé latéralement en avant. Pour une remise de la main gauche, c'est le pied droit qui est décalé vers le côté en avant.




  Dimensions du terrain
  Moitié du terrain


  Marges des cônes
  En largeur : à partir du poteau à 1 m de la ligne des 6 mètres
En longueur: 6 m",30,
"Partie principale 2, Type de jeu II - Courses de la défense en ligne à 4 avec 4 joueurs + 1 passeur","Positionnement
  4 joueurs sont alignés en une ligne (voir le dessin) à la hauteur de la surface de rép. Pour marquer les positions, on peut utiliser des cônes. Le passeur a le ballon et se positionne à l'arc en cercle.


  Déroulement
  Le passeur E fait des passes dans l'espace devant la défense en ligne (voir les flèches). La défense en ligne se déplace en direction du ballon. Le défenseur le plus proche du ballon quitte la formation pour récupérer et arrêter le ballon. Comme le montre l'exemple de C: il va vers le ballon, le stoppe et ne bouge plus. Les joueurs restants de la défense bleue se déplacent selon les courses indiquées:
A + B se déplacent latéralement de 2-3 m pour assurer la position de C en profondeur (triangle défensif), D se déplace également.
Puis, C relance le ballon à E et les joueurs reprennent leur formation de base. E transfère le ballon à D qui va aussi vers la ballon. S'ensuivent les mêmes courses comme avant. Les joueurs A + C se déplacent latéralement pour assurer la position de D (triangle défensif), B se replie également.
Après avoir effecuté toutes les courses et passes, l'exercice redémarre.


  Notes
  - Les courses des défenseurs sont les suivantes: en avant vers le ballon et retour, à gauche/droite comme retrait défensif.
- Lors du déplacement en avant, les joueurs ont tendance à faire un retrait vers l'intérieur. Toutefois, pour atteindre un échelonnement en profondeur, il est important de se replier légèrement en arrière.
- Commencez par étudier les courses doucement avant d'accélérer le rythme.
- Communiquez !
- Faites des passes précises et correctes.


  Dimensions du terrain
  36 x 30 m.


  Marges des cônes
  En largeur: 10-12 m.",10,
Tirs au but avec remise du côté,"Positionnement
  Le gardien se met dans le but. Installez un cône de départ. Un joueur (le dit ""rebondeur) se positionne à côté du but. Les autres joueurs ont un ballon chacun et se placent au cône de départ à 16-22 m du but.


  Déroulement
  Le premier joueur de la queue fait une passe au ""rebondeur"" qui se trouve à côté du but et court en direction du but. Le rebondeur lui remise le ballon dans la foulée de sorte que ce premier peut directement tirer au but. Ensuite, le prochain joueur démarre au cône de départ, etc... Le rebondeur est régulièrement relayé. Le gardien essaie d'arrêter les tirs.
Variantes:
1. Le tireur prend le ballon et ne tire au but qu'avec la deuxième touche.
2. Le tireur fait une passe à ras de terre ou aérienne.
3. Le rebondeur fait une remise à ras de terre ou aérienne.
4. Mode de compétition: chacun compte ses buts inscrits. Pour cette variante, le rebondeur peut quitter sa position initiale pour profiter éventuellement d'un deuxième tir (si le gardien fait repousser).


  Notes
  - Le gardien fixe toujours le tireur actif.
- A cause de la grande variabilité des tirs, le gardien doit être capable de réagir de différentes facons.
- Son objectif est toujours de se saisir du ballon.
- Le gardien démarre dès que le ballon a quitté le pied de l'EG.
- Ne pas faire plus d'un pas intermédiaire, puisque cela couterait trop de temps. Lors de l'impulsion, le poids du gardien se déplace vers la jambe d'appel.
- Il fait un pas bondissant aux côtés. Vers la droite en prenant son élan du pied droit et en se poussant latéralement de la plante de pied. Vers la gauche en prenant son élan du pied gauche, etc..
- Les joueurs de champ doivent apprendre les bonnes techniques de tirs (de l'intérieur du pied/du cou-de-pied/ avec effet brossé) pour augmenter les vitesse et la précision de leurs frappes.


  Dimensions du terrain
  25 x 20 m


  Marges des cônes
  Entre but et cône: de 10 à 25 m (selon la classe d'âge)",20,
Ligne à 4 - déplacement à droite avec retrait défensif de milieux gauches,"Positionnement
  Les cinq défenseurs bleus A, B, C, D et X (les 4 rouges E, F, G et H = attaquants) se déplacent de leurs positions initiales respectives vers les positions finales comme indiquées sur le dessin. E est en possession du ballon.


  Déroulement
  Objectif: entrainement des comportements/déplacements à faire en cas du marquage de zone orienté vers le ballon.
Variante: 2 attaquants occupent la zone de finition près des défenseurs centraux
Formation/courses optionnelle(s):
Se déplacer/replier dès que le joueur adverse E fait une ouverture vers l'aile gauche à F et si les deux attaquants G et H se trouvent près du but. Dans ce cas, défenseur D se replie jusqu'au deuxième poteau, à hauteur égale avec C, C prend marquage de H et B marque l'attaquant G. A va vers le joueur en possession du ballon F pour le harceler.


  Notes
  - Le déplacement ne peut réussir que si le milieu latéral à gauche a suffisamment de temps pour se replier et n'est pas engagé dans le marquage d'un joueur adverse.


  Dimensions du terrain
  Moitié du terrain",15,
Construction du jeu,"Positionnement
  Version réduite d'un 11 vs. 11
1. variante: sans adversaires
2. variante: avec des adversaires


  Déroulement
  1. Renvoi de but du gardien au défenseur central (DC)
2. Transfert rapide du ballon au défenseur latéral (DL) qui pousse le ballon en avant (son adversaire va le suivre vers le couloir !)
3. Le DL s'arrête et fait une passe aérienne appuyée au DC plus loin du ballon - en même temps, le DL dédouble
4. Le DC contrôle le ballon et le passe au milieu latéral (ML) près du ballon
5. Ce dernier prend le ballon vers le milieu et passe au milieu défensif (MD) qui va vers lui
6. Le MD joue dans la foulée du DL - dans le cas d'une perte du ballon, le ML prend la position du DL
7. passe à ras de terre appuyée vers le milieu",20,
Tir au but à partir d'un jeu de passes avec adversaires simulés,"Positionnement
  Installez trois piquets et deux cônes de départs selon le dessin. Les joueurs se repartent régulièrement aux deux cônes. Groupe A a les ballons. Le gardien est dans le but.


  Déroulement
  Joueur A commence son dribble au cône de départ en direction des deux piquets les plus proches. En même temps, joueur B commence sa course le long du piquet. Arrivés aux deux piquets, A fait une passe en profondeur que B doit rattraper en pleine course. Puis, B tire au but, soit directement, soit après avoir contrôlé le ballon. Faites échanger les positions après chaque manche.


  Notes
  - Le gardien fixe toujours le tireur actif.
- A cause de la grande variabilité des tirs, le gardien doit être capable de réagir de différentes facons.
- Son objectif est toujours de se saisir du ballon.
- Le gardien démarre dès que le ballon a quitté le pied de l'EG.
- Ne pas faire plus d'un pas intermédiaire, puisque cela couterait trop de temps. Lors de l'impulsion, le poids du gardien se déplace vers la jambe d'appel.
- Il fait un pas bondissant aux côtés. Vers la droite en prenant son élan du pied droit et en se poussant latéralement de la plante de pied. Vers la gauche en prenant son élan du pied gauche, etc..
- Les joueurs de champ doivent apprendre les bonnes techniques de tirs (de l'intérieur du pied/du cou-de-pied/ avec effet brossé) pour augmenter les vitesse et la précision de leurs frappes.


  Dimensions du terrain
  35x25 m.


  Marges des cônes
  But - piquets : 25 m
Cône A - piquet I : 6-8 m
Piquet I - Piquet II: 12 m
Piquet II - Piquet III: 10 m
Cône B - Piquet III: 5 m",25,
Conservation de balle avec appuis,"Positionnement
  3 équipes, deux jouent la conservation et la 3ème reste en appui.


  Déroulement
  A la récupération, l'équipe perd le ballon passe en appui et celle qui était dehors travaille pour prendre le ballon.

Variation des touches et mise en compétition pour le nombre de passes.",35,
Exercice complexe 2,"Positionnement
  1 gardien
2 attaquants
1 but
4 cônes de positions rouges
2 cônes jaunes


  Déroulement
  1) Le gardien (A) passe le ballon à joueur B et se met ensuite dans le but (1b). Joueur B va vers le ballon et le contrôle.
2) B passe le ballon à C qui va aussi vers le ballon et le contrôle.
3) B court dans la profondeur latérale pendant que C lui joue, à travers les deux cônes jaunes, une passe dans la foulée.
4) B contrôle le ballon et court autour du cône de position pour arriver à la ligne de but. En même temps, C se dirige vers le cône de position devant le but.
5) B fait un centre dans le dos de la défense à son collègue C.
6) C tire directement au but ou après avoir contrôlé le ballon.




  Notes
  Chez les poussins, il est recommandé que le gardien dégage le ballon du pied. S'il dispose d'assez de force, il peut aussi dégager de la main.
Changement de camp après 15-20m.


  Dimensions du terrain
  Selon la classe d'âge des joueurs


  Marges des cônes
  Comme indiqué sur la graphique.",30,
Echauffement / Conclusion 4,"Positionnement
  Mat


  Déroulement
  Les joueurs sont r


  Notes
  2 Leibchenfarben, 4 Hütchen",25,
"7 vs. 2 avec ""contournement"" de cônes","Positionnement
  Positionnez-vous en cercle d'un diamètre de 20 m. 7 joueurs extérieurs, 2 joueurs intérieurs.


  Déroulement
  Placez les 7 joueurs aux cônes extérieurs, il y aura un jeu 7 vs. 2 en cercle. Après chaque passe, le joueur extérieur respectif doit ""contourner"" son cône avant de pouvoir rentrer en jeu. Celui qui fait son tour trop tard, quand la prochaine passe déjà arrive, doit aller au milieu.",30,
JEU DE FINISSION SOUS FORME JOUER,"Positionnement
  1 gardien
1 appui de chaque coté du but qui sont dans la meme équipe que ceux qui attaque
2 équipe en 3 contre 3


  Déroulement
  l'équipe rouge doit progresser avec le ballon, mais pour marquer elle doit jouer avec l'appui se trouvant sur les cotés du but.
L'appui remet en un touche le ballon aux attaquants qui doivent eux aussi marquer en 1 touche.
l'appui doit etre utiliser apres une serie de 5 passes au moins.
l'équipe bleu doit recupéré le ballon et ensuite la conservé, a chaque serie de 5 passe il annule 1 but inscrit par l'équipe rouge.
apres 5 minutes inversé les bleus deviennent attaquant et les rouges defenseur, les appuis deviennent donc bleu.
a la fin de l'exercice l'équipe qui a gagné est celle qui le meilleur score.....


ps: suvre le schema par rapport aux chiffres sachant que le 1 est la première action et le 5 la dernière suivre dans l 'ordre pour la compréhension de l'exercice et faite évolué par la suite en suivant les consignes du déroulement


  Notes
  réclamé du mouvement, meme de la part des appuis
cette exercice peu ramené des but marqués de tous types : tete reprise de volé, etc...
objectif: construction, jeux dans les intervalles car l'appui doit etre trouvé le plus souvent possible dans l 'intervalle
favoriser la réussite devant le but adapté votre exercice si il n 'y a pas assez de but ou de tir au but.
variantes: rajouter 1 attaquant pour favorisez le but ou rajouter 1 touche a l'appui mais exigé de la vitesse dans l'exécution


  Dimensions du terrain
  18m de largeur x 30m de profondeur réadapté les distances en fonction du public accueilli",40,
Une-deux en formation de triangle,"Positionnement
  Placez trois 3 cônes comme indiqué. Le cône de départ est occupé par deux (resp. plusieurs) joueurs qui possèdent le ballon. Les cônes restants sont occupés par un joueur chacun.


  Déroulement
  A fait un une-deux avec B (1+2) avant de passer par la diagonale au joueur C (3). C fait un une-deux avec B (4+5) avant de passer le ballon en diagonale vers le cône II, où il y a maintenant joueur A.
Maintenant, le même déroulement commencera de nouveau.
Courses :
- Joueur A court au cône II
- B court au cône III
- Joueur C passe au cône I
Changement des positions dans le sens des aiguilles !
Alternative:
Après la moitié du temps, l'exercice va se dérouler en sens inverse des aiguilles.


  Notes
  Commencez par étudier cet exercice doucement avant d'accélérer. Les joueurs attendant le ballon sont en mouvement permanent, ils font un petit saut dynamique soit de côté, soit en arrière avant d'aller vers le ballon L'exercice, pratiqué rapidement, possède déjà un fort coefficient de courses rien qu'avec 4 joueurs.
- La pression du temps va engendrer un jeu de passes direct, réel et exigeant.
- Les joueurs doivent exiger le ballon de l'émetteur de passe par des commandos verbaux.
- Un bon timing de passes et de départs est crucial.
- Souvent, les joueurs courent plus vite qu'ils ne passent.
- N'oubliez pas de faire attention à vos courses !
- Exigez des passes appuyées et ciblées de vos joueurs !
- La précision prime sur la vitesse des passes.
- Il faut maintenir un haut niveau de concentration.




  Dimensions du terrain
  12 x 12 m.


  Marges des cônes
  12 m.",45,
Combinaison de slalom à travers de cônes + roulade avant suivie par une balle tirée/lancée,"Positionnement
  Installez un parcours de cônes à côté du but. Le gardien est placé au cône le plus loin du but, son entraineur (EG) à une distance de 14 - 22 m (variable selon la classe d'âge), en position centrale devant le but. L'EG a les ballons.


  Déroulement
  Le gardien fait un slalom à travers les cônes. Aussitôt après avoir passé le dernier cône, il fait un changement de direction de 45° et une roulade avant en sens inverse du but. Par la suite, l'EG lui tire/lance le ballon.

Déroulement:
1 - Slalom
2 - Roulade avant
3 - Balle tirée/lancée par l'EG


  Notes
  - Faire de petits mouvements très accentués à travers les cônes.
- La roulade avant se fait d'une position accroupie avec un mini-plongeon en avant. Le gardien roule ensuite par dessus son dos/ses fesses. Les mains/bras lui servent comme levier.
- Après la roulade avant, le gardien doit immédiatement se réorienter. Il se sert du premier contact au sol après la roulade pour sauter derrière le ballon. Tout cela se fait en un mouvement et de facon fluide.
- Ses pieds pointent en direction de l'EG (à un écart conforme à celui de la hanche), son torse se penche légèrement en avant et il fixe le ballon des yeux.
- L'objectif pour le gardien est toujours de se saisir du ballon. Si ce n'est pas possible, il peut aussi le dégager vers l'un des côtés.


  Dimensions du terrain
  25x20 m.


  Marges des cônes
  En largeur : entre poteau et le premier cône: 1 m.
En longueur : entre poteau et le premier cône: 2 m.
Entre les cônes : de 1 à 1,5 m.",30,
"Echauffement dans le système linéaire de 4-4-2, avec losange et ballons","Positionnement
  L'équipe sera placée selon la formation défensive ""losange"" en 4-4-2 dans la zone de pressing défensif du terrain.
Installez sur la ligne de touche 3 zones à l'aide de cônes de différentes couleurs (voir le dessin):
Cônes rouges = zone du pressing défensif
Cônes bleus = zone du pressing de milieu
Cônes jaunes = zone du pressing offensif
Faites répartir 10 ballons (ou bien des cônes) sur le terrain comme indiqué sur le dessin


  Déroulement
  Réalisation des courses orientées aux ballons/cônes à travers le terrain intégral et pratiquées en formation de ""losange"" . Il y a encore des ballons (ou des cônes) numérotés qui sont distribués sur le terrain. L'entraineur crie un numéro et toute l'équipe se déplace vers le ballon/cône correspondant. En défense, le losange se transforme souvent en ligne à 3 (avec un milieu offensif devant cette ligne). Ce milieu offensif occupe et assure l'inter-espace entre défense et attaque.


  Dimensions du terrain
  Terrain intégral",25,
Exercice complexe 3,"Positionnement
  1 Gardien
1 Défenseur
2 Attaquants
1 Centreur




  Déroulement
  1) L'ailier fait un centre vers le gardien.
2) Le gardien attrape le ballon et relance une attaque de son côté, par un dégagement du pied ou de la main. Conseil: chez les poussins/juniors, il devrait dégager du pied.
3) L'ailier contrôle le ballon et le pousse devant lui.
4) Au cône jaune, il fait une passe à l'attaquant central.
5) Contrôle et prise du ballon correct, démarrer un sprint.
6) Dribble contre le défenseur (ou bien contre un obstacle simulant le défenseur)
7) Tir au but (vers un coin éventuellement prédéfini par l'entraineur)
Après l'attaque, chaque joueur passe à la prochaine position (à l'exception du centreur).


  Notes
  L'objectif est de disposer d'un exercice avec tir au but où le gardien occupe aussi un rôle important.
Ici, le gardien fait toujours signe au centreur qu'il est prêt avant de dégager le ballon.
Changement de camp après 15-20m. Faites échanger le centreur toutes les 5 minutes.
S'il y a un entraineur adjoint, vous pouvez installer un deuxième parcours.


  Marges des cônes
  Selon les capacités et la classe d'âge des joueurs",20,
11:0 Dragani,"Positionnement
  Placer l'équipe-type en donnant des casaques de couleurs différents aux défenseurs-milieux-attaquants.
Pas d'adversaire ou alors passifs.


  Déroulement
  Variantes de 4 à 6 minutes.
1. Circulation de balle en simulant des phases de construction REELLES, avec rythme et déplacements des joueurs ""comme en match"".
2. Obligation de transmettre le ballon à un joueur portant une autre casaque. Insister sur certains déplacements (voir animations).
3. Au signal du coach, déclenchement d'une action de jeu. Le coach peut aussi demander une action précise (dédoublement latéral, jeu long ou passage par un des ""8"".",20,
Construction du jeu à partir de la défense en ligne à 4,"Positionnement
  Terrain intégral


  Déroulement
  Le gardien dégage du pied/de la main vers un défenseur central de la ligne à 4 qui fait une passe appuyée à ras de terre au défenseur latéral (2). Celui-ci doit pousser le ballon en avant en cherchant des yeux l'un des attaquants à qui il fait finalement une passe à ras de terre. EN MEME TEMPS, l'ailier de ce côté du terrain démarre en vitesse! L'attaquant sollicité fait rebondir pour le milieu récupérateur (6) qui fait une passe longue dans la foulée de l'ailier qui recevra la balle au coin de la surface de rép. en position libre. Les deux attaquants croisent et remontent le terrain vers le but adverse, ainsi que le milieu récup. et le meneur de jeu (10).
1. Déroulement lent en étudiant les course et les lignes de passes
2. Déroulement au rythme accéléré une fois que les lignes de passes ont été interiorisées par les joueurs
3. Comme 2., en plus de quelques joueurs adverses",25,
Renvois de but/Lances,"Positionnement
  Chaque but est occupé par un gardien. Les ballons sont repartis aux différents buts.


  Déroulement
  Les gardiens se font des dégagements de but d'un côté à l'autre (renvoi de but comme coup arrêté, à partir du mouvement ou à l'aide de la main) ou des lances.
1: Renvoi de but
2: Dégagement à l'aide de la main (p. ex. drop).
3: Lances




  Notes
  Application des techniques de dégagement suivantes : drop, volée frontale ou volée-ciseaux. Elles sont entrainées comme coups arrêtés, à partir du mouvement ou avec dégagement de la main.
Techniques de lances/frappes:
- Le pied d'appui repose à 30-40 cm latéralement et à hauteur du ballon.
- Le torse est légèrement penché par dessus le ballon.
- Le pied fait un mouvement d'élan du haut vers le bas.
- La coordination pied-bras lors de la frappe/passe a les caractéristiques suivantes:
a) Pour l'impulsion du pied droit: bras droit balance en avant, bras gauche en arrière.
b) Pour l'impulsion du pied gauche: bras gauche balance en avant, bras droit en arrière.
- Remise du cou-de-pied: la pointe du pied pointe vers le sol, l'articulation est tendue et le torse légèrement penché par dessus le ballon. Le ballon est touché par la surface arrière du cou-de-pied. Pour lancer une passe plus longue, il est permis de se pencher un peu en arrière.
- De l'intérieur du pied: le ballon est frappé en partie de l'intérieur et en partie du cou-de-pied. Le pied d'appui se trouve à côté du ballon et le torse s'incline un peu. Les doigts de pied pointent vers le bas, comme si on faisait une frappe du cou-de-pied.
- Pour un drop, prenez le ballon dans les deux mains, étendez les bras et lâchez le ballon. Au moment où le ballon touche à terre, il faut le frapper du cou-de-pied.
- Pour la remise frontale comme volée, le torse est un peu penché en avant. Le ballon est dégagé des deux mains un peu en avant et puis frappé assez bas (pas trop haut). Ainsi, la frappe sera puissante et très précise. Le ballon est frappé du cou-de-pied. Pour réaliser une plus grande distance de renvoi, il est recommandé de relever ou d'incliner en arrière son torse.
- Pour une remise latérale (coup de ciseaux), le pied d'appui se trouvé à côté du ballon et le torse s'incline un peu. Les doigts de pied pointent vers le bas, comme si on faisait une frappe du cou-de-pied. Le pied de tir est fléchi, la surface de frappe est le cou-de-pied. le ballons sera mené resp. lancé de la main vers le pied de tir.
- Pour la lance latérale, le gardien se comporte comme un lanceur de javelot: il étend son bras en arrière et met le ballon dans la paume ouverte. En maintenant la tension, Le bras tendu sera ensuite mené en avant, près de l'oreille. Ses pas sont importants: s'il dégage le ballon de la main droite, le pied gauche est décalé latéralement en avant. Pour une remise de la main gauche, c'est le pied droit qui est décalé vers le côté en avant.




  Dimensions du terrain
  Moitié du terrain ou terrain intégral (selon la classe d'âge)",35,
Trois vs. trois sur un terrain délimité + gardiens,"Positionnement
  Chaque équipe se compose de 3 joueurs + gardien et occupe un camp du terrain délimité. Les ballons se trouvent dans les deux buts.


  Déroulement
  Les deux équipes jouent 3 contre 3 + gardiens. Leur objectif est de s'engager à fond pendant 2 minutes et de marquer ainsi que d'éviter d'encaisser des buts. Au bout de 2 minutes, les joueurs de champ seront relayés.


  Notes
  - Les joueurs de champ des deux équipes essaient d'appliquer toutes les facettes de leurs séances d'entrainement.
- Les gardiens sont responsable de l'organisation permante de leur équipe
- La remise en jeu se fait selon la situation de jeu (renvoi de but, coup d'envoi, etc...)
- Un bon placement est crucial pour cette forme de jeu.
- Tous les chapitres de l'entrainement du gardien seront mis en place sous forme réelle (1 contre 1, centres, tirs au but, ouverture du jeu, etc..)




  Dimensions du terrain
  32x32 m.


  Marges des cônes
  En largeur: le terrain s'étend des poteaux à la ligne extérieure de la surface de rép.
En longueur: 16 m.",30,
